goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillList/0-4         	30000000	        40.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   5000514 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   5043312 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   5048245 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   5067529 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   5450121 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   4981400 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceList/10000-4      	     300	   4988485 ns/op	 4480048 B/op	  140001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  83918600 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  88085506 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  95889733 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  80976778 ns/op	44800052 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  77724651 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  82534573 ns/op	44800052 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	 105989976 ns/op	44800062 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  78314946 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  80795977 ns/op	44800052 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/100000-4     	      20	  76255028 ns/op	44800048 B/op	 1400001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	1055284492 ns/op	448000096 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 896624113 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 892495968 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 857405896 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 874463712 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 913435796 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 906809357 ns/op	448000096 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 894692112 ns/op	448000096 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 862950813 ns/op	448000048 B/op	14000001 allocs/op
BenchmarkMicroserviceList/1000000-4    	       2	 972376001 ns/op	448000096 B/op	14000001 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8338 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8196 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8142 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8067 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8317 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8139 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8162 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8143 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8208 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/1-4            	  200000	      8227 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     84815 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     81086 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     86427 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     84259 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     84488 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     86626 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     91652 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     85688 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     88354 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/10-4           	   20000	     90201 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    876250 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    895793 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    843094 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    841981 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    867653 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    923470 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    877399 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    930047 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    847320 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/100-4          	    2000	    852556 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillFullList/1000-4         	     200	   8709866 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     200	   8918593 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     200	   8774183 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     200	  10113434 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     200	   9291278 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     100	  13824788 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     100	  10556704 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     200	   8584092 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     200	   8423091 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/1000-4         	     200	   9053018 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  89587771 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  91619006 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  99027558 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  90797718 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  88096028 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  94484883 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  87495275 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  88257419 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  91134163 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/10000-4        	      20	  92641435 ns/op	64000000 B/op	 2000000 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1652032676 ns/op	640000000 B/op	20000000 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1639741361 ns/op	640000000 B/op	20000000 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1774957728 ns/op	640000192 B/op	20000002 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1682865538 ns/op	640000096 B/op	20000001 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1779981205 ns/op	640000000 B/op	20000000 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1789932353 ns/op	640000096 B/op	20000001 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1777708962 ns/op	640000000 B/op	20000000 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1768484815 ns/op	640000000 B/op	20000000 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1621743114 ns/op	640000000 B/op	20000000 allocs/op
BenchmarkRefillFullList/100000-4       	       1	1807125461 ns/op	640000096 B/op	20000001 allocs/op
BenchmarkRefillList/1-4                	  200000	      7236 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7088 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7094 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7108 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7105 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7088 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7070 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7251 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7088 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/1-4                	  200000	      7078 ns/op	    6400 B/op	     200 allocs/op
BenchmarkRefillList/10-4               	   20000	     69003 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     69015 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     69338 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     69907 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     69263 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     72034 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     74089 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     70850 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     73999 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/10-4               	   20000	     70184 ns/op	   64000 B/op	    2000 allocs/op
BenchmarkRefillList/100-4              	    2000	    683331 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    681474 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    723209 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    683535 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    679011 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    693592 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    782223 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    684893 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    757896 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/100-4              	    2000	    697444 ns/op	  640000 B/op	   20000 allocs/op
BenchmarkRefillList/1000-4             	     200	   7593490 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   7171248 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   7092659 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   7558854 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   7078737 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   6967070 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   7175546 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   7082660 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   6906304 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/1000-4             	     200	   7434751 ns/op	 6400000 B/op	  200000 allocs/op
BenchmarkRefillList/10000-4            	      20	  73213804 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  71147177 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  76308784 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  72079949 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  70988245 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  71157157 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  73085910 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  70621375 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  70938977 ns/op	64000002 B/op	 2000000 allocs/op
BenchmarkRefillList/10000-4            	      20	  75312064 ns/op	64000007 B/op	 2000000 allocs/op
BenchmarkRefillList/100000-4           	       1	2088583168 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkRefillList/100000-4           	       1	1831797906 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkRefillList/100000-4           	       1	1910821731 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkRefillList/100000-4           	       1	2033854810 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkRefillList/100000-4           	       1	2297399604 ns/op	640000144 B/op	20000002 allocs/op
BenchmarkRefillList/100000-4           	       1	2225812219 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkRefillList/100000-4           	       1	2348910201 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkRefillList/100000-4           	       1	1926982234 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkRefillList/100000-4           	       1	1934021586 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkRefillList/100000-4           	       1	1989714685 ns/op	640000048 B/op	20000001 allocs/op
BenchmarkSlowDecreaseList/1-4          	20000000	        84.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkSlowDecreaseList/1-4          	20000000	        77.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkSlowDecreaseList/1-4          	20000000	        70.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkSlowDecreaseList/1-4          	20000000	        70.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkSlowDecreaseList/1-4          	20000000	        68.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkSlowDecreaseList/1-4          	20000000	        69.4 ns/op	      64 B/op	       2 allocs/op
