goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillSlice/0-4         	30000000	        39.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/0-4 	50000000	        38.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       336 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       335 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       336 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       352 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       345 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       347 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       340 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       340 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       340 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/1-4 	 5000000	       348 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2220 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2246 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2153 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2176 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2133 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2135 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2162 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2152 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2141 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/10-4         	 1000000	      2153 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18340 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18373 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18358 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18418 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18394 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18353 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18306 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18408 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18269 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/100-4        	  100000	     18146 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    175736 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    175236 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    175584 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    174970 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    174617 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    176082 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    175421 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    175057 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    174696 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/1000-4       	   10000	    174907 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1893829 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1874687 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1871841 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1847579 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1853031 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1875892 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1886352 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1888925 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1849359 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/10000-4      	    1000	   1871537 ns/op	 1506328 B/op	   70021 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  26360409 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  25535871 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  28032974 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  26231712 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  25721202 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  26668945 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  26265649 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  26590595 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  25630947 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/100000-4     	      50	  25818225 ns/op	15854360 B/op	  700031 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       5	 283379211 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       5	 277635904 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       5	 312498742 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       3	 341413913 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       3	 336279092 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       5	 281390913 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       5	 289525255 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       5	 288466676 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       5	 285122034 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkMicroserviceSlice/1000000-4    	       5	 287435311 ns/op	157188376 B/op	 7000041 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3072 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3187 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3101 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3187 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3404 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3139 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3275 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3224 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3161 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/1-4            	  500000	      3040 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     31434 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     30381 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     33108 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     33725 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     31779 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     31446 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     34376 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     32573 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     31168 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/10-4           	   50000	     32916 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    307979 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    306126 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    299989 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    318497 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    301248 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    308324 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    303950 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    321143 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    306372 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/100-4          	    5000	    316653 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3206411 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   2933801 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   2980230 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3149864 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3087082 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3070305 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3069048 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3190559 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3172427 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/1000-4         	     500	   3190550 ns/op	 1600000 B/op	  100000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  30185985 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  29989170 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  31144890 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  30433313 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  32802630 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  30704424 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  30540283 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  30616453 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  32827218 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/10000-4        	      50	  31648938 ns/op	16000000 B/op	 1000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 383920379 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 415594789 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 386908185 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 407283497 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 380808516 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 381296084 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 382752377 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 380091627 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 424313609 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillFullSlice/100000-4       	       3	 356934656 ns/op	160000000 B/op	10000000 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2853 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2914 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2858 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2847 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2849 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2852 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2847 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2855 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2848 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/1-4                	  500000	      2864 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27757 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27815 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27966 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27911 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27980 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     28153 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27976 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27876 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27921 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/10-4               	   50000	     27963 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    266919 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    266442 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    270161 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    283840 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    280351 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    294264 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    303125 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    309186 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    284353 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/100-4              	    5000	    266058 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2913250 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2927477 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2770936 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2641592 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2640458 ns/op	 1600033 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2654583 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2880310 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2638294 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2644751 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/1000-4             	     500	   2637188 ns/op	 1600032 B/op	  100000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  32797022 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  29869711 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  30218998 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  31758680 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  32017216 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  33969043 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      30	  38802346 ns/op	16012880 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  36303725 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  32903571 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/10000-4            	      50	  32482488 ns/op	16007726 B/op	 1000000 allocs/op
BenchmarkRefillSlice/100000-4           	       3	 383233087 ns/op	161551453 B/op	10000010 allocs/op
BenchmarkRefillSlice/100000-4           	       3	 360629803 ns/op	161551453 B/op	10000010 allocs/op
BenchmarkRefillSlice/100000-4           	       3	 377026071 ns/op	161551453 B/op	10000010 allocs/op
BenchmarkRefillSlice/100000-4           	       3	 385765003 ns/op	161551453 B/op	10000010 allocs/op
