goos: darwin
goarch: amd64
pkg: github.com/ef-ds/stack-bench-tests
BenchmarkFillStack/0-4         	50000000	        27.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkFillStack/100-4       	  300000	      4123 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/100-4       	  300000	      4127 ns/op	    5616 B/op	     107 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34319 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34192 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34209 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34228 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34219 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34222 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34391 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34254 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34152 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/1000-4      	   50000	     34241 ns/op	   40528 B/op	    1011 allocs/op
BenchmarkFillStack/10000-4     	    5000	    320120 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    320846 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    322702 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    320480 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    321470 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    320909 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    320558 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    320832 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    320753 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/10000-4     	    5000	    321004 ns/op	  332560 B/op	   10047 allocs/op
BenchmarkFillStack/100000-4    	     500	   3481639 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3487129 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3502768 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3516335 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3494065 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3500841 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3508322 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3490711 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3489086 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/100000-4    	     500	   3483212 ns/op	 3219984 B/op	  100399 allocs/op
BenchmarkFillStack/1000000-4   	      30	  40764639 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  40407642 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  41624100 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  40203691 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  40777451 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  41213315 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  40161050 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  40306611 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  40674387 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkFillStack/1000000-4   	      30	  39863623 ns/op	32077776 B/op	 1003915 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        27.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/0-4 	50000000	        28.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       324 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       323 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       322 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       322 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       322 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       322 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       322 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       323 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       322 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/1-4 	 5000000	       325 ns/op	     288 B/op	      10 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2230 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2226 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2248 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2235 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2226 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2232 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2229 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2244 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2231 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/10-4         	 1000000	      2227 ns/op	    1552 B/op	      74 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20514 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20518 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20574 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20649 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20546 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20537 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20547 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20528 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     21177 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/100-4        	  100000	     20569 ns/op	   15216 B/op	     707 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    202623 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    202207 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    203151 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    201824 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    202956 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    206914 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    205177 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    202629 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    202709 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/1000-4       	   10000	    202298 ns/op	  161200 B/op	    7017 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2124226 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2110815 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2121752 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2107153 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2112565 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2097476 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2135739 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2136613 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2111441 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/10000-4      	    1000	   2112226 ns/op	 1761328 B/op	   70161 allocs/op
BenchmarkMicroserviceStack/100000-4     	     100	  24076957 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  24740012 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  24683101 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  24126730 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  23812528 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  23776421 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  23847475 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  23831969 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  23823426 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/100000-4     	      50	  23957566 ns/op	17631024 B/op	  701569 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 254064335 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 256410583 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 259044790 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 263951729 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 255577056 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 259849837 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 254173419 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 255479634 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 257011734 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkMicroserviceStack/1000000-4    	       5	 261375564 ns/op	176262192 B/op	 7015633 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3033 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3006 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3109 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3039 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3048 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3044 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3072 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3052 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3082 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/1-4            	  500000	      3074 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     31278 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     30373 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     30624 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     30566 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     30481 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     30462 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     31546 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     30594 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     30919 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/10-4           	   50000	     31314 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    297503 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    300115 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    296249 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    299125 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    297219 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    299320 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    300471 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    297189 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    296394 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/100-4          	    5000	    299475 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3320485 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3346099 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3337018 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3317429 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3318647 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3359392 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3325518 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3340557 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3340712 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/1000-4         	     500	   3351746 ns/op	 3244800 B/op	  100400 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33613416 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33744606 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33521746 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33482411 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33496695 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33579385 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33545783 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33541378 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33500761 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/10000-4        	      50	  33396758 ns/op	32448000 B/op	 1004000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 345641863 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 346800088 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 345316885 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 346219856 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 345783934 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 344728254 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 345430263 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 345395996 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 355254460 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillFullStack/100000-4       	       3	 346568671 ns/op	320368000 B/op	10039000 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3235 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3201 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3219 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3194 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3208 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3207 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3198 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3207 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3230 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/1-4                	  500000	      3211 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillStack/10-4               	   50000	     31296 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     30962 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     30894 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     30593 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     31221 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     30587 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     30568 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     30963 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     30685 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/10-4               	   50000	     30463 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    299065 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    295702 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    298198 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    292054 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    296388 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    293630 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    296847 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    292792 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    301349 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/100-4              	    5000	    294676 ns/op	  160000 B/op	   10000 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3067523 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3084025 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3100242 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3081281 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3093519 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3083152 ns/op	 2422433 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3099211 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3081158 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3074617 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/1000-4             	     500	   3086298 ns/op	 2422432 B/op	  100200 allocs/op
BenchmarkRefillStack/10000-4            	      50	  33168366 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  32988348 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  33067215 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  33031873 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  33084133 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  33046105 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  33007707 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  32977804 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  33030098 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/10000-4            	      50	  33338566 ns/op	31625926 B/op	 1003800 allocs/op
BenchmarkRefillStack/100000-4           	       3	 348593712 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 349976702 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 350254113 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 351546792 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 351504616 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 353231489 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 349203998 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 351709665 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 348809307 ns/op	320373434 B/op	10039003 allocs/op
BenchmarkRefillStack/100000-4           	       3	 349284908 ns/op	320373434 B/op	10039003 allocs/op
